MAZ,HHq1,HHq2,HHq3,HHq4
710009,8.0,22.0,12.0,35.0
710010,2.0,3.0,7.0,9.0
710011,0.0,4.0,4.0,7.0
710012,3.0,14.0,12.0,19.0
710013,29.0,28.0,36.0,58.0
710016,0.0,0.0,0.0,0.0
710017,5.0,6.0,6.0,9.0
710018,7.0,7.0,10.0,13.0
710019,0.0,0.0,0.0,0.0
710025,6.0,13.0,13.0,21.0
710029,11.0,9.0,19.0,30.0
710030,171.0,110.0,79.0,101.0
710031,31.0,31.0,55.0,71.0
710032,33.0,46.0,49.0,63.0
710034,14.0,30.0,43.0,43.0
710035,19.0,44.0,43.0,46.0
710037,144.0,64.0,35.0,41.0
710043,428.0,57.0,89.0,162.0
710044,79.0,66.0,66.0,50.0
710046,6.0,11.0,9.0,24.0
710047,1.0,2.0,3.0,6.0
710050,34.0,72.0,81.0,114.0
710054,14.0,17.0,21.0,50.0
710055,0.0,0.0,0.0,0.0
710056,0.0,0.0,0.0,0.0
710057,15.0,40.0,38.0,75.0
710060,2.0,12.0,6.0,29.0
710061,5.0,3.0,5.0,18.0
710066,39.0,43.0,51.0,84.0
710076,34.0,32.0,40.0,55.0
710077,16.0,15.0,29.0,36.0
710083,95.0,89.0,111.0,126.0
710088,0.0,0.0,0.0,0.0
710092,11.0,14.0,34.0,34.0
710093,2.0,1.0,2.0,1.0
710096,0.0,0.0,0.0,0.0
710099,0.0,0.0,0.0,0.0
710105,10.0,6.0,13.0,22.0
710106,8.0,19.0,19.0,46.0
710107,3.0,2.0,8.0,13.0
710108,12.0,14.0,12.0,14.0
710109,4.0,1.0,1.0,1.0
710110,3.0,1.0,3.0,9.0
710113,3.0,10.0,13.0,8.0
710118,21.0,29.0,33.0,66.0
710125,9.0,11.0,16.0,12.0
710129,26.0,58.0,48.0,83.0
710134,1.0,2.0,4.0,8.0
710138,12.0,22.0,26.0,48.0
710143,0.0,1.0,3.0,1.0
710144,86.0,144.0,160.0,260.0
710150,8.0,12.0,12.0,34.0
710154,0.0,0.0,0.0,0.0
710158,0.0,0.0,0.0,0.0
710166,3.0,6.0,0.0,4.0
710168,13.0,13.0,25.0,20.0
710169,12.0,14.0,17.0,27.0
710171,5.0,6.0,16.0,10.0
710173,22.0,16.0,12.0,16.0
710174,8.0,14.0,15.0,15.0
710175,56.0,1.0,2.0,3.0
710176,0.0,0.0,0.0,0.0
710178,0.0,0.0,0.0,0.0
710181,20.0,18.0,23.0,44.0
710184,0.0,0.0,0.0,0.0
710185,6.0,22.0,14.0,24.0
710187,10.0,6.0,14.0,13.0
710189,58.0,14.0,15.0,39.0
710190,9.0,16.0,22.0,32.0
